SOURCE ,DESTINATION,DISTANCE ,MINI,SEDAN,ERTIGA,INNOVA
RANNOFKUTCH,BHUJ,81,3000,3300,4200,6800
RANNOFKUTCH,GANDHIDHAM,136,4500,4800,6000,8800
RANNOFKUTCH,ANJAR,120,4500,4800,6000,8800
RANNOFKUTCH,MUNDRA,139,4500,4800,6000,8800
RANNOFKUTCH,AHMEDABAD AIRPORT ,420,7000,7300,9000,14500
RANNOFKUTCH,AHMEDABAD ,408,7000,7300,9000,14500
RANNOFKUTCH,RAJKOT,308,5500,5800,7000,12500
RANNOFKUTCH,RAJKOT AIRPORT,325,5800,6200,7500,13500
RANNOFKUTCH,MUMBAI,940,14000,14500,18000,28000
RANNOFKUTCH,VADODARA ,515,8500,8800,11000,18000
RANNOFKUTCH,PALANPUR ,358,7000,7300,9000,14500
RANNOFKUTCH,MANDVI,140,4500,4800,6000,8800
RANNOFKUTCH,DWARKA,490,8800,9200,11000,22000
RANNOFKUTCH,SOMNATH,500,8800,9200,11000,22000
RANNOFKUTCH,SURAT,680,9500,10000,13000,21500
RANNOFKUTCH,ANAND,480,8300,8800,11000,18500
RANNOFKUTCH,NADIYAD,470,8300,8800,11000,18500
RANNOFKUTCH,DHOLAVIRA,90,3000,3500,4500,7000
RANNOFKUTCH,NARAYAN SAROVAR,115,3300,3600,5000,8500
RANNOFKUTCH,MATANAMADH,95,8300,8800,11000,18500
RANNOFKUTCH,JUNAGADH,415,6300,7000,9200,14500
RANNOFKUTCH,PUNE,1070,17000,17500,22000,33000
RANNOFKUTCH,KANDLA AIRPORT ,135,4500,4800,6000,8800
RANNOFKUTCH,AHMEDABAD RAILWAY STATION,415,7000,7300,9000,14500
RANNOFKUTCH,BHUJ AIPORT,78,3000,3300,4200,6800
RANNOFKUTCH,BHUJ RAILWAY STATION,80,3000,3300,4200,6800
RANNOFKUTCH,HIRASAR AIRPORT,325,5500,5800,7000,12500
RANNOFKUTCH,JAMNAGAR,340,5500,5800,7000,12500
RANNOFKUTCH,MORBI,245,5500,5800,7000,12500
RANNOFKUTCH,WANKANER,275,5500,5800,7000,12500
RANNOFKUTCH,CHOTILA,310,5500,5800,7000,12500
RANNOFKUTCH,STATUE OF UNITY,610,9300,9600,12500,21500
RANNOFKUTCH,BHAVNAGAR,500,7000,7500,9500,15500
RANNOFKUTCH,MOUNT ABU,441,7500,8000,10500,18500
RANNOFKUTCH,AMBAJI,418,7000,7300,9000,14500
RANNOFKUTCH,ABU ROAD,410,7000,7300,9000,14500
RANNOFKUTCH,VERAVAL RAILWAY STATION,495,8800,9200,11000,22000
RANNOFKUTCH,GANDHIDHAM RAILWAY STATION,142,4500,4800,6000,8800
BHUJ,RANNOFKUTCH,81,3000,3300,4200,6800
GANDHIDHAM,RANNOFKUTCH,136,4500,4800,6000,8800
ANJAR,RANNOFKUTCH,120,4500,4800,6000,8800
MUNDRA,RANNOFKUTCH,139,4500,4800,6000,8800
AHMEDABAD AIRPORT ,RANNOFKUTCH,420,7000,7300,9000,14500
AHMEDABAD ,RANNOFKUTCH,408,7000,7300,9000,14500
RAJKOT,RANNOFKUTCH,308,5500,5800,7000,12500
RAJKOT AIRPORT,RANNOFKUTCH,325,5800,6200,7500,13500
MUMBAI,RANNOFKUTCH,940,14000,14500,18000,28000
VADODARA ,RANNOFKUTCH,515,8500,8800,11000,18000
PALANPUR ,RANNOFKUTCH,358,7000,7300,9000,14500
MANDVI,RANNOFKUTCH,140,4500,4800,6000,8800
DWARKA,RANNOFKUTCH,490,8800,9200,11000,22000
SOMNATH,RANNOFKUTCH,500,8800,9200,11000,22000
SURAT,RANNOFKUTCH,680,9500,10000,13000,21500
ANAND,RANNOFKUTCH,480,8300,8800,11000,18500
NADIYAD,RANNOFKUTCH,470,8300,8800,11000,18500
DHOLAVIRA,RANNOFKUTCH,90,3000,3500,4500,7000
NARAYAN SAROVAR,RANNOFKUTCH,115,3300,3600,5000,8500
MATANAMADH,RANNOFKUTCH,95,8300,8800,11000,18500
JUNAGADH,RANNOFKUTCH,415,6300,7000,9200,14500
PUNE,RANNOFKUTCH,1070,17000,17500,22000,33000
KANDLA AIRPORT ,RANNOFKUTCH,135,4500,4800,6000,8800
AHMEDABAD RAILWAY STATION,RANNOFKUTCH,415,7000,7300,9000,14500
BHUJ AIPORT,RANNOFKUTCH,78,3000,3300,4200,6800
BHUJ RAILWAY STATION,RANNOFKUTCH,80,3000,3300,4200,6800
HIRASAR AIRPORT,RANNOFKUTCH,325,5500,5800,7000,12500
JAMNAGAR,RANNOFKUTCH,340,5500,5800,7000,12500
MORBI,RANNOFKUTCH,245,5500,5800,7000,12500
WANKANER,RANNOFKUTCH,275,5500,5800,7000,12500
CHOTILA,RANNOFKUTCH,310,5500,5800,7000,12500
STATUE OF UNITY,RANNOFKUTCH,610,9300,9600,12500,21500
BHAVNAGAR,RANNOFKUTCH,500,7000,7500,9500,15500
MOUNT ABU,RANNOFKUTCH,441,7500,8000,10500,18500
AMBAJI,RANNOFKUTCH,418,7000,7300,9000,14500
ABU ROAD,RANNOFKUTCH,410,7000,7300,9000,14500
VERAVAL RAILWAY STATION,RANNOFKUTCH,495,8800,9200,11000,22000
GANDHIDHAM RAILWAY STATION,RANNOFKUTCH,142,4500,4800,6000,8800
BHUJ ,GANDHIDHAM,60,1600,1800,2500,5000
BHUJ,ADIPUR,55,1600,1800,2500,5000
BHUJ,ANJAR,45,1600,1800,2500,5000
BHUJ,MUNDRA,50,1600,1800,2500,5000
BHUJ,MANDVI,45,1600,1800,2500,5000
BHUJ,NALIYA,100,2300,2500,3000,6000
BHUJ,KANDLA PORT,70,1800,2000,2800,5500
BHUJ,MUNDRA PORT,60,1800,2000,2800,5500
BHUJ,KANDLA AIRPORT,50,1600,1800,2500,5000
BHUJ,NALIYA AIRFORCE,100,2300,2500,3000,6000
BHUJ,NALIYA COST GUARD,100,2300,2500,3000,6000
BHUJ,JAKHAU PORT,135,2800,3000,3600,7000
BHUJ,BHACHAU,85,2200,2500,3600,6000
BHUJ,SAMKHIYALI ,130,2800,3000,3600,7000
BHUJ,RAPAR,130,2800,3000,3600,7000
BHUJ,DHOLAVIRA,130,3300,3600,4500,7000
BHUJ,ADANI POWER PLANT,100,2000,2300,3000,4500
BHUJ,TATA SOLAR,100,2000,2300,3000,4500
BHUJ,BHUJ HOTEL,20,999,1200,1800,3500
BHUJ,NAKHATRANA,50,1600,1800,2500,5000
BHUJ,KERA,20,1200,1500,2300,4500
